symbol,ts,open,high,low,close,volume,count
ETH,2026-05-14 16:00:00+00:00,2297.5,2318.7,2292.5,2297.2,79431.5247,41530
ETH,2026-05-14 20:00:00+00:00,2297.3,2300.3,2279.8,2282.1,33309.9053,20410
ETH,2026-05-15 00:00:00+00:00,2282.2,2299.3,2259.3,2272.4,80330.2447,34024
ETH,2026-05-15 04:00:00+00:00,2272.4,2272.7,2236.2,2264.3,50667.8329,27149
ETH,2026-05-15 08:00:00+00:00,2264.3,2264.6,2249.2,2256.6,26010.8546,16732
ETH,2026-05-15 12:00:00+00:00,2256.6,2259.3,2204.0,2221.9,194513.9235,57818
ETH,2026-05-15 16:00:00+00:00,2222.0,2232.0,2217.1,2222.3,64459.8792,25319
ETH,2026-05-15 20:00:00+00:00,2222.2,2225.3,2213.3,2223.3,31561.5491,10934
ETH,2026-05-16 00:00:00+00:00,2223.3,2230.5,2222.1,2226.9,25831.5503,9431
ETH,2026-05-16 04:00:00+00:00,2226.9,2227.7,2180.9,2193.7,80032.8814,25229
ETH,2026-05-16 08:00:00+00:00,2193.6,2195.7,2161.2,2175.6,63133.2529,28301
ETH,2026-05-16 12:00:00+00:00,2175.6,2187.5,2171.8,2179.1,71356.2759,19472
ETH,2026-05-16 16:00:00+00:00,2179.1,2183.5,2169.1,2178.7,15645.7378,11127
ETH,2026-05-16 20:00:00+00:00,2178.7,2182.1,2178.1,2179.4,16163.2424,9233
ETH,2026-05-17 00:00:00+00:00,2179.3,2184.6,2166.6,2180.5,44936.5604,16234
ETH,2026-05-17 04:00:00+00:00,2180.4,2193.8,2180.0,2185.4,25928.3741,12183
ETH,2026-05-17 08:00:00+00:00,2185.1,2196.8,2182.0,2190.8,25415.0577,12283
ETH,2026-05-17 12:00:00+00:00,2190.7,2197.2,2177.2,2185.6,31358.0027,15851
ETH,2026-05-17 16:00:00+00:00,2185.5,2192.7,2175.3,2191.4,33248.4535,13677
ETH,2026-05-17 20:00:00+00:00,2191.4,2193.8,2089.4,2130.1,160393.3775,43006
ETH,2026-05-18 00:00:00+00:00,2130.2,2130.8,2103.9,2117.5,64297.6519,37348
ETH,2026-05-18 04:00:00+00:00,2117.5,2124.8,2109.1,2119.5,37087.7834,16888
ETH,2026-05-18 08:00:00+00:00,2119.5,2138.7,2109.3,2132.5,51446.8281,23753
ETH,2026-05-18 12:00:00+00:00,2132.5,2156.1,2092.3,2106.4,192692.0807,62939
ETH,2026-05-18 16:00:00+00:00,2106.5,2127.8,2077.0,2124.1,150879.767,55466
ETH,2026-05-18 20:00:00+00:00,2124.0,2143.1,2114.0,2129.7,112120.9514,36182
ETH,2026-05-19 00:00:00+00:00,2129.7,2146.3,2118.4,2130.3,50358.3479,24110
ETH,2026-05-19 04:00:00+00:00,2130.2,2144.0,2122.5,2140.0,24229.1254,14022
ETH,2026-05-19 08:00:00+00:00,2140.1,2140.4,2105.6,2109.8,47450.8983,19039
ETH,2026-05-19 12:00:00+00:00,2109.8,2126.6,2093.5,2109.2,89359.1992,34049
ETH,2026-05-19 16:00:00+00:00,2109.3,2124.6,2106.4,2112.3,35577.1614,18408
ETH,2026-05-19 20:00:00+00:00,2112.4,2119.8,2101.5,2110.8,16125.2312,11708
ETH,2026-05-20 00:00:00+00:00,2110.9,2117.6,2102.5,2110.5,21386.1176,16376
ETH,2026-05-20 04:00:00+00:00,2110.6,2135.9,2106.3,2128.8,51171.3574,18801
ETH,2026-05-20 08:00:00+00:00,2128.7,2137.5,2123.7,2127.6,17094.0325,13020
ETH,2026-05-20 12:00:00+00:00,2127.6,2148.1,2113.6,2136.0,69944.7696,32838
